"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38630","Complete putaway process/ Update sublocation","","Fri Oct 03 11:46:45 IST 2025","passed","Fri Oct 03 11:47:24 IST 2025","","usecase1.spec.js","",""
"","29179","Updating Info in RTV module","","Tue Sep 30 17:26:44 IST 2025","passed","Tue Sep 30 17:27:13 IST 2025","","bclinward.spec.js","",""
"","954","Use CSV data in test","","Mon Oct 27 16:55:33 IST 2025","passed","Mon Oct 27 16:55:34 IST 2025","","usecase1.spec.js","",""
"","14738","7-Complete putaway process/ Update sublocation","","Mon Oct 06 17:58:02 IST 2025","passed","Mon Oct 06 17:58:17 IST 2025","","usecase3.spec.js","",""
"","8714","Verify RTV Module","","Tue Sep 30 12:58:37 IST 2025","failed","Tue Sep 30 12:58:46 IST 2025","","bclinward.spec.js","",""
"","0","should login successfully with valid credentials","","Wed Oct 01 17:18:36 IST 2025","skipped","Wed Oct 01 17:18:36 IST 2025","","bclinward.spec.js","",""
"","828","Use CSV date in test","","Mon Oct 06 17:54:18 IST 2025","passed","Mon Oct 06 17:54:18 IST 2025","","usecase3.spec.js","",""
"","0","3-Return approval By BSM and RCSM","","Fri Oct 03 12:45:31 IST 2025","skipped","Fri Oct 03 12:45:31 IST 2025","","usecase2.spec.js","",""
"","19454","should login successfully with valid credentials2","","Fri Oct 03 11:48:28 IST 2025","passed","Fri Oct 03 11:48:47 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","20660","4-Logistics Details Update By Logistics Manager","","Mon Oct 27 16:56:57 IST 2025","passed","Mon Oct 27 16:57:18 IST 2025","","usecase1.spec.js","",""
"","958","Verify PRD Data","","Fri Oct 03 12:44:27 IST 2025","passed","Fri Oct 03 12:44:28 IST 2025","","usecase2.spec.js","",""
"","45370","6-Inward the item to Brandcall-Log Disposition","","Mon Oct 06 17:57:06 IST 2025","passed","Mon Oct 06 17:57:51 IST 2025","Mobile App Login Test","usecase3.spec.js","",""
"","60367","Verify RTV Module","","Tue Sep 30 16:23:02 IST 2025","broken","Tue Sep 30 16:24:02 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","31648","2-Service Technician Inspection","","Mon Oct 27 16:56:05 IST 2025","passed","Mon Oct 27 16:56:36 IST 2025","","usecase1.spec.js","",""
"","20451","3-Return approval By BSM and RCSM","","Mon Oct 27 16:56:36 IST 2025","passed","Mon Oct 27 16:56:57 IST 2025","","usecase1.spec.js","",""
"","18581","1-D2C Ticket Creation","","Mon Oct 06 13:04:37 IST 2025","passed","Mon Oct 06 13:04:56 IST 2025","","usecase2.spec.js","",""
"","16523","5-Upload PRD File","","Mon Oct 06 17:56:49 IST 2025","passed","Mon Oct 06 17:57:06 IST 2025","","usecase3.spec.js","",""
"","36893","Complete putaway process/ Update sublocation","","Thu Oct 02 18:17:54 IST 2025","passed","Thu Oct 02 18:18:31 IST 2025","","bclinward.spec.js","",""
"","934","Use CSV date in test","","Mon Oct 06 13:04:35 IST 2025","passed","Mon Oct 06 13:04:36 IST 2025","","usecase2.spec.js","",""
"","19188","8-Assign pickup request to Executive","","Mon Oct 27 16:59:17 IST 2025","passed","Mon Oct 27 16:59:36 IST 2025","","usecase1.spec.js","",""
"","14892","Dispatch process","","Thu Oct 02 18:18:31 IST 2025","passed","Thu Oct 02 18:18:46 IST 2025","","bclinward.spec.js","",""
"","14241","5-Upload PRD File","","Mon Oct 06 13:05:16 IST 2025","passed","Mon Oct 06 13:05:30 IST 2025","","usecase2.spec.js","",""
"","25568","12-Update Dispatch Details","","Mon Oct 27 17:01:08 IST 2025","passed","Mon Oct 27 17:01:34 IST 2025","","usecase1.spec.js","",""
"","15041","5-Upload PRD File","","Mon Oct 27 16:57:18 IST 2025","passed","Mon Oct 27 16:57:33 IST 2025","","usecase1.spec.js","",""
"","9817","should login successfully with valid credentials00","","Thu Oct 02 18:18:46 IST 2025","failed","Thu Oct 02 18:18:56 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","18363","Return approval By BSM and RCSM","","Fri Oct 03 11:45:00 IST 2025","passed","Fri Oct 03 11:45:18 IST 2025","","usecase1.spec.js","",""
"","31772","Service Technician Inspection","","Fri Oct 03 11:44:28 IST 2025","passed","Fri Oct 03 11:44:59 IST 2025","","usecase1.spec.js","",""
"","32776","9-Complete pickup request","","Mon Oct 27 16:59:36 IST 2025","passed","Mon Oct 27 17:00:09 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","19378","10-Assign Packaging request to Executive","","Mon Oct 27 17:00:17 IST 2025","passed","Mon Oct 27 17:00:37 IST 2025","","usecase1.spec.js","",""
"","1366","Use CSV date in test","","Mon Oct 13 20:27:44 IST 2025","passed","Mon Oct 13 20:27:45 IST 2025","","usecase1.spec.js","",""
"","22977","11-Complete packaging request","","Mon Oct 27 17:00:37 IST 2025","passed","Mon Oct 27 17:01:00 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","0","pending information tab","","Tue Sep 30 17:01:16 IST 2025","skipped","Tue Sep 30 17:01:16 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","0","pending dispatch","","Thu Oct 02 18:19:07 IST 2025","skipped","Thu Oct 02 18:19:07 IST 2025","","bclinward.spec.js","",""
"","0","pickup request","","Wed Oct 01 14:09:35 IST 2025","skipped","Wed Oct 01 14:09:35 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","19512","Logistics Details Update By Logistics Manager","","Fri Oct 03 11:45:18 IST 2025","passed","Fri Oct 03 11:45:37 IST 2025","","usecase1.spec.js","",""
"","31897","2-Service Technician Inspection","","Mon Oct 06 17:54:44 IST 2025","passed","Mon Oct 06 17:55:16 IST 2025","","usecase3.spec.js","",""
"","23355","should login successfully with valid credentials2","","Thu Oct 02 13:39:38 IST 2025","failed","Thu Oct 02 13:40:01 IST 2025","Mobile App Login Test","dispatchflow.spec.js","",""
"","12865","Dispatch process","","Fri Oct 03 11:47:24 IST 2025","passed","Fri Oct 03 11:47:37 IST 2025","","usecase1.spec.js","",""
"","59794","3-Return approval By BSM and RCSM","","Mon Oct 06 17:55:16 IST 2025","passed","Mon Oct 06 17:56:16 IST 2025","","usecase3.spec.js","",""
"","0","should login successfully with valid credentials2","","Thu Oct 02 18:19:07 IST 2025","skipped","Thu Oct 02 18:19:07 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","0","pending information tab","","Tue Sep 30 16:06:53 IST 2025","skipped","Tue Sep 30 16:06:53 IST 2025","","bclinward.spec.js","",""
"","30419","9-Complete pickup request","","Mon Oct 06 13:07:19 IST 2025","passed","Mon Oct 06 13:07:50 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","38639","7-Complete putaway process/ Update sublocation","","Mon Oct 06 13:06:27 IST 2025","passed","Mon Oct 06 13:07:06 IST 2025","","usecase2.spec.js","",""
"","14270","Upload PRD File","","Fri Oct 03 11:45:38 IST 2025","passed","Fri Oct 03 11:45:52 IST 2025","","usecase1.spec.js","",""
"","46499","6-Inward the item to Brandcall-Log Disposition","","Mon Oct 27 16:57:33 IST 2025","passed","Mon Oct 27 16:58:19 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","18001","PRD Creation","","Thu Oct 02 22:00:26 IST 2025","passed","Thu Oct 02 22:00:44 IST 2025","","usecase1.spec.js","",""
"","1125","Verify PRD Data","","Thu Oct 02 18:16:41 IST 2025","passed","Thu Oct 02 18:16:42 IST 2025","","bclinward.spec.js","",""
"","126728","Liquidation Flow","","Mon Oct 06 17:58:17 IST 2025","broken","Mon Oct 06 18:00:24 IST 2025","","usecase3.spec.js","",""
"","11","should login successfully with valid credentials","","Thu Oct 02 13:03:05 IST 2025","failed","Thu Oct 02 13:03:05 IST 2025","","dispatchflow.spec.js","",""
"","5306","should login successfully with valid credentials","","Mon Oct 06 11:29:23 IST 2025","failed","Mon Oct 06 11:29:28 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","20010","4-Logistics Details Update By Logistics Manager","","Mon Oct 06 13:04:56 IST 2025","passed","Mon Oct 06 13:05:16 IST 2025","","usecase2.spec.js","",""
"","9389","should login successfully with valid credentials","","Wed Oct 01 17:27:37 IST 2025","failed","Wed Oct 01 17:27:46 IST 2025","Mobile App Login Test","dispatchflow.spec.js","",""
"","20200","Assign Packaging request","","Thu Oct 02 13:39:16 IST 2025","passed","Thu Oct 02 13:39:37 IST 2025","","dispatchflow.spec.js","",""
"","17072","Upload PRD File","","Thu Oct 02 18:16:42 IST 2025","passed","Thu Oct 02 18:16:59 IST 2025","","bclinward.spec.js","",""
"","25466","D2C Ticket Creation","","Fri Oct 03 11:44:02 IST 2025","passed","Fri Oct 03 11:44:28 IST 2025","","usecase1.spec.js","",""
"","1","Verify BrandcallLogModule","","Tue Sep 30 16:06:53 IST 2025","skipped","Tue Sep 30 16:06:53 IST 2025","","bclinward.spec.js","",""
"","13284","Assign Packaging request","","Fri Oct 03 11:48:14 IST 2025","passed","Fri Oct 03 11:48:28 IST 2025","","usecase1.spec.js","",""
"","0","2-Service Technician Inspection","","Fri Oct 03 12:45:31 IST 2025","skipped","Fri Oct 03 12:45:31 IST 2025","","usecase2.spec.js","",""
"","61117","test","","Tue Sep 30 10:45:11 IST 2025","broken","Tue Sep 30 10:46:12 IST 2025","","liquidation.spec.js","",""
"","1","Assign Packaging request","","Thu Oct 02 18:19:07 IST 2025","skipped","Thu Oct 02 18:19:07 IST 2025","","bclinward.spec.js","",""
"","61442","Verify BrandcallLogModule","","Tue Sep 30 17:07:46 IST 2025","broken","Tue Sep 30 17:08:47 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","33169","4-Logistics Details Update By Logistics Manager","","Mon Oct 06 17:56:16 IST 2025","passed","Mon Oct 06 17:56:49 IST 2025","","usecase3.spec.js","",""
"","57188","test","","Fri Oct 17 13:24:09 IST 2025","passed","Fri Oct 17 13:25:06 IST 2025","","sanitytest.spec.js","",""
"","29568","1-D2C Ticket Creation","","Mon Oct 27 16:55:35 IST 2025","passed","Mon Oct 27 16:56:05 IST 2025","","usecase1.spec.js","",""
"","19883","11-Complete packaging request","","Mon Oct 06 13:08:13 IST 2025","passed","Mon Oct 06 13:08:33 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","47817","6-Inward the item to Brandcall-Log Disposition","","Mon Oct 06 13:05:30 IST 2025","passed","Mon Oct 06 13:06:18 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","12","should login successfully with valid credentials2","","Wed Oct 01 17:22:19 IST 2025","failed","Wed Oct 01 17:22:19 IST 2025","","bclinward.spec.js","",""
"","12875","8-Assign pickup request to Executive","","Mon Oct 06 13:07:06 IST 2025","passed","Mon Oct 06 13:07:19 IST 2025","","usecase2.spec.js","",""
"","38054","7-Complete putaway process/ Update sublocation","","Mon Oct 27 16:58:39 IST 2025","passed","Mon Oct 27 16:59:17 IST 2025","","usecase1.spec.js","",""
"","44415","Dispatch process","","Wed Oct 01 14:12:23 IST 2025","failed","Wed Oct 01 14:13:08 IST 2025","","dispatchflow.spec.js","",""
"","0","should login successfully with valid credentials3","","Wed Oct 01 18:15:30 IST 2025","skipped","Wed Oct 01 18:15:30 IST 2025","","bclinward.spec.js","",""
"","17205","pending dispatch","","Fri Oct 03 11:48:54 IST 2025","passed","Fri Oct 03 11:49:11 IST 2025","","usecase1.spec.js","",""
"","62097","pending dispatch","","Thu Oct 02 17:12:01 IST 2025","broken","Thu Oct 02 17:13:03 IST 2025","","dispatchflow.spec.js","",""
"","17697","12-Update Dispatch Details","","Mon Oct 06 13:08:40 IST 2025","passed","Mon Oct 06 13:08:58 IST 2025","","usecase2.spec.js","",""
"","45414","should login successfully with valid credentials","","Fri Oct 03 11:45:52 IST 2025","passed","Fri Oct 03 11:46:37 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","1","Liquidation","","Thu Oct 02 22:00:47 IST 2025","skipped","Thu Oct 02 22:00:47 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
